City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Najran,17.4924,44.1277,88.45,51,84,12.01,SA,2022-08-03 17:40:01
134,Victor Harbor,-35.5667,138.6167,55.0,79,5,3.0,AU,2022-08-03 17:42:28
135,Kathmandu,27.7167,85.3167,71.82,94,75,4.61,NP,2022-08-03 17:40:07
136,Olafsvik,64.8945,-23.7142,50.56,62,21,6.98,IS,2022-08-03 17:42:29
137,Itarema,-2.9248,-39.9167,82.56,66,63,15.68,BR,2022-08-03 17:42:29
138,Huangpi,30.8845,114.3779,89.71,66,0,6.71,CN,2022-08-03 17:42:30
139,Wellington,-41.2866,174.7756,54.07,90,20,18.41,NZ,2022-08-03 17:42:13
140,Jiwani,25.05,61.7417,81.52,88,23,7.67,PK,2022-08-03 17:42:30
141,Yeppoon,-23.1333,150.7333,62.38,94,5,6.91,AU,2022-08-03 17:42:31
142,Egvekinot,66.3167,-179.1667,51.39,71,71,2.68,RU,2022-08-03 17:42:31
143,Hue,16.4667,107.6,82.51,83,20,4.61,VN,2022-08-03 17:42:32
144,Saint-Joseph,-21.3667,55.6167,68.38,83,35,11.61,RE,2022-08-03 17:42:32
145,Svetlaya,46.5389,138.3297,64.85,99,100,1.99,RU,2022-08-03 17:42:33
146,Kokstad,-30.5472,29.4241,55.13,58,89,2.24,ZA,2022-08-03 17:42:33
147,Cloquet,46.7216,-92.4594,78.35,61,35,18.41,US,2022-08-03 17:42:34
148,La Seyne-Sur-Mer,43.0982,5.8847,87.64,58,5,3.0,FR,2022-08-03 17:42:34
149,Grand Gaube,-20.0064,57.6608,70.2,73,40,3.0,MU,2022-08-03 17:42:35
150,Nerchinskiy Zavod,51.3088,119.61,64.11,95,80,3.0,RU,2022-08-03 17:42:35
151,Mogadishu,2.0371,45.3438,76.44,82,11,18.05,SO,2022-08-03 17:42:36
152,Zelenogorskiy,55.0333,87.0,52.74,73,82,1.9,RU,2022-08-03 17:42:36
153,Riyadh,24.6877,46.7219,102.34,24,65,15.93,SA,2022-08-03 17:42:37
154,Ciechanow,52.8814,20.62,80.46,55,20,2.37,PL,2022-08-03 17:42:37
155,Norman Wells,65.282,-126.8329,57.24,88,75,19.57,CA,2022-08-03 17:37:43
156,Ponta Do Sol,32.6667,-17.1,80.71,72,0,6.04,PT,2022-08-03 17:42:38
157,Upernavik,72.7868,-56.1549,45.07,73,26,5.3,GL,2022-08-03 17:42:39
158,Chuy,-33.6971,-53.4616,57.92,99,100,1.99,UY,2022-08-03 17:42:39
159,Lakes Entrance,-37.8811,147.981,63.01,64,11,9.89,AU,2022-08-03 17:42:39
160,Georgetown,5.4112,100.3354,80.53,91,20,2.3,MY,2022-08-03 17:39:50
161,Craig,40.5153,-107.5464,76.95,38,0,5.75,US,2022-08-03 17:42:40
162,San Policarpo,12.1791,125.5072,79.34,84,96,3.89,PH,2022-08-03 17:42:41
163,Solnechnyy,50.7214,136.6319,59.29,98,94,4.07,RU,2022-08-03 17:42:41
